unlocode,name,city,iso,lat,lng
AEJEA,Jebel Ali,,AE,25.033817,55.136604
BEANR,Antwerpen,,BE,51.216670,4.416670
BRSSZ,Santos,,BR,-23.933330,-46.316670
CAVAN,Vancouver,,CA,49.260872,-123.113952
CLVAP,Valparaiso,,CL,-33.033330,-71.633330
CNSHG,Shanghai Pt,,CN,30.633330,122.066670
CNSHK,Shekou Pt,,CN,22.483330,113.916670
COCTG,Cartagena,,CO,10.426557,-75.544167
DEHAM,Hamburg,,DE,53.516670,9.933330
EGALY,El Iskandariya (Alexandria),,EG,31.183330,29.916670
EGPSD,Port Said,,EG,31.263235,32.305505
ESALG,Algeciras,,ES,36.131172,-5.447399
ESBCN,Barcelona,,ES,41.382894,2.177432
ESVLC,Valencia,,ES,39.469707,-0.376335
FRLEH,Le Havre,,FR,49.500000,0.100000
FRMRS,Marseille,,FR,43.300000,5.400000
GBFXT,Felixstowe,,GB,51.963910,1.351511
GRPIR,Piraeus,,GR,37.933330,23.616670
INBOM,Mumbai (ex Bombay),,IN,18.966670,72.816670
INMUN,Mundra,,IN,22.839315,69.724948
ITGIT,Gioia Tauro,,IT,38.416670,15.900000
ITGOA,Genova,,IT,44.416670,8.950000
JPTYO,Tokyo,,JP,35.683330,139.750000
JPYOK,Yokohama,,JP,35.450000,139.650000
KEMBA,Mombasa,,KE,-4.050520,39.667169
KRPUS,Busan,,KR,35.133330,129.050000
LKCMB,Colombo,,LK,6.916670,79.850000
MACAS,Casablanca,,MA,33.583330,-7.600000
MXVER,Veracruz,,MX,19.200000,-96.083330
MYPKG,Port Klang (Pelabuhan Klang),,MY,3.000000,101.400000
NAWVB,Walvis Bay,,NA,-22.955761,14.507112
NGLOS,Lagos,,NG,6.455057,3.394179
NLRTM,Rotterdam,,NL,51.916670,4.500000
OMSOH,Sohar,,OM,24.344558,56.742477
PAONX,Colón,,PA,9.350000,-79.866670
PECLL,Callao,,PE,-12.050000,-77.133330
SGSIN,Singapore,,SG,1.283330,103.850000
TRIST,Istanbul,,TR,41.016670,28.966670
TZDAR,Dar es Salaam,,TZ,-6.800000,39.283330
USLAX,Los Angeles,,US,34.050000,-118.250000
USMIA,Miami,,US,25.774173,-80.193620
USNYC,New York,,US,40.700000,-74.000000
USORF,Norfolk,,US,36.844835,-76.286400
USSAV,Savannah,,US,32.079007,-81.092134
USSEA,Seattle,,US,47.603832,-122.330062
UYMVD,Montevideo,,UY,-34.905892,-56.191310
ZADUR,Durban,,ZA,-29.850000,31.016670
AEABU,Abu al Bukhoosh,,AE,25.483330,53.133330
AEAJM,Ajman,,AE,25.393656,55.445143
AEAJP,Al Jeer Port,,AE,26.033330,56.050000
AEAMF,Musaffah,,AE,24.383330,54.483330
AEAMU,Abu Musa,,AE,25.866670,55.016670
AEARP,Ahmed Bin Rashid Port,,AE,25.533330,55.550000
AEAUH,Abu Dhabi,,AE,24.466670,54.366670
AEDAS,Das Island,,AE,25.141931,52.877540
AEDBP,Dibba,,AE,25.616670,56.266670
AEDUJ,The Palm Jumeirah,,AE,25.127805,55.153515
AEDXB,Dubai,,AE,25.250000,55.266670
AEEND,Esnnad,,AE,24.316670,54.450000
AEFJR,Al Fujayrah,,AE,25.116670,56.333330
AEFRP,Free Port,,AE,25.250000,55.250000
AEHSN,Hassyan,,AE,24.900000,54.900000
AEHTL,Hulaylah Terminal,,AE,25.983330,55.933330
AEHZP,Hamriya Free Zone Port,,AE,25.300000,55.316670
AEJAZ,Al Jazeera Port,,AE,25.716670,55.800000
AEJED,Jebel Dhanna,,AE,24.163675,52.597433
AEKHL,Mina Khalifa/Abu Dhabi,,AE,24.833330,54.666670
AEKLB,Kalba,,AE,25.066670,56.350000
AEKLF,Khor al Fakkan,,AE,25.333330,56.350000
AEMBS,Mubarras Island,,AE,24.583330,53.316670
AEMKH,Mina Khalid,,AE,25.350000,55.366670
AEMRP,Mina Rashid Port,,AE,25.266670,55.283330
AEMSA,Mina Saqr,,AE,25.966670,56.066670
AEMZD,Mina Zayed/Abu Dhabi,,AE,24.516670,54.366670
AEPRA,Port Rashid,,AE,25.270931,55.265831
AEQIW,Umm al Quwain,,AE,25.583330,55.583330
AEQWE,Jebel Ali Free Zone,,AE,25.000000,55.050000
AERFA,Mirfa,,AE,24.096160,53.487065
AERKP,Rak Khor Port,,AE,25.816670,55.950000
AERKT,Ras al Khaimah,,AE,25.783330,55.950000
AERMC,Rak Maritime City,,AE,25.950000,56.050000
AERUW,Ar Ruways,,AE,24.116670,52.733330
AERWP,Ruwais Port,,AE,24.100000,52.716670
AESHJ,Sharjah,,AE,25.350000,55.383330
AESID,Sadiyat Island,,AE,24.533330,54.400000
AEULR,Umm Al Nar,,AE,24.433330,54.500000
AEYAS,Yas Island,,AE,24.494022,54.607372
AEZUR,Zirku Island,,AE,24.883330,53.066670
AFDHD,Dehdadi,,AF,36.650000,66.983330
AFQLT,Qalat,,AF,32.100000,66.883330
AFRKH,Torkham,,AF,34.137159,71.082018
AGANU,Antigua,,AG,17.085589,-61.794560
AGBBQ,Barbuda,,AG,17.118457,-61.844851
AGFAM,Falmouth,,AG,17.016670,-61.783330
AGPHM,Parham,,AG,17.083330,-61.750000
AGSJO,Saint John's,,AG,17.116670,-61.850000
AIBLP,Blowing Point,,AI,18.175040,-63.093688
AIMBB,Meads Bay Beach,,AI,18.166670,-63.133330
